runner,monday,tuesday,wednesday,thursday,friday
Dansta2106,"14:00 UTC, 15:00 UTC, 16:00 UTC, 17:00 UTC, 18:00 UTC","14:00 UTC, 15:00 UTC, 16:00 UTC, 17:00 UTC, 18:00 UTC","14:00 UTC, 15:00 UTC, 16:00 UTC, 17:00 UTC, 18:00 UTC","11:00 UTC, 12:00 UTC, 13:00 UTC, 14:00 UTC, 15:00 UTC, 16:00 UTC, 17:00 UTC, 18:00 UTC","11:00 UTC, 12:00 UTC, 13:00 UTC, 14:00 UTC, 15:00 UTC, 16:00 UTC, 17:00 UTC, 18:00 UTC"
MichaelGuy,"18:00 UTC, 19:00 UTC, 20:00 UTC, 21:00 UTC, 22:00 UTC","18:00 UTC, 19:00 UTC, 20:00 UTC, 21:00 UTC, 22:00 UTC",Nothing,"18:00 UTC, 19:00 UTC, 20:00 UTC, 21:00 UTC, 22:00 UTC","18:00 UTC, 19:00 UTC, 20:00 UTC, 21:00 UTC, 22:00 UTC"
Sa1102,"8:00 UTC, 9:00 UTC, 10:00 UTC, 13:00 UTC, 14:00 UTC, 15:00 UTC, 16:00 UTC, 19:00 UTC, 20:00 UTC, 21:00 UTC","8:00 UTC, 9:00 UTC, 10:00 UTC, 13:00 UTC, 14:00 UTC, 15:00 UTC, 16:00 UTC, 19:00 UTC, 20:00 UTC, 21:00 UTC","8:00 UTC, 9:00 UTC, 20:00 UTC","20:00 UTC","13:00 UTC, 14:00 UTC, 15:00 UTC, 16:00 UTC, 20:00 UTC, 21:00 UTC"
Mark Lukas,"17:00 UTC, 18:00 UTC","17:00 UTC, 18:00 UTC","17:00 UTC, 18:00 UTC","15:00 UTC, 16:00 UTC, 17:00 UTC, 18:00 UTC","17:00 UTC, 18:00 UTC, 19:00 UTC"
proprofk,"16:00 UTC, 17:00 UTC, 18:00 UTC","16:00 UTC, 17:00 UTC, 18:00 UTC",Nothing,"16:00 UTC, 17:00 UTC, 18:00 UTC",Nothing
Red Lunatic,"00:00 UTC, 1:00 UTC, 2:00 UTC, 3:00 UTC, 19:00 UTC, 20:00 UTC, 21:00 UTC, 22:00 UTC, 23:00 UTC","00:00 UTC, 1:00 UTC, 2:00 UTC, 3:00 UTC, 19:00 UTC, 20:00 UTC, 21:00 UTC, 22:00 UTC, 23:00 UTC","00:00 UTC, 1:00 UTC, 2:00 UTC, 3:00 UTC, 19:00 UTC, 20:00 UTC, 21:00 UTC, 22:00 UTC, 23:00 UTC","00:00 UTC, 1:00 UTC, 2:00 UTC, 3:00 UTC, 19:00 UTC, 20:00 UTC, 21:00 UTC, 22:00 UTC, 23:00 UTC","00:00 UTC, 1:00 UTC, 2:00 UTC, 3:00 UTC, 19:00 UTC, 20:00 UTC, 21:00 UTC, 22:00 UTC, 23:00 UTC"
GShark,"18:00 UTC, 19:00 UTC, 20:00 UTC, 21:00 UTC, 22:00 UTC","19:00 UTC, 20:00 UTC, 21:00 UTC, 22:00 UTC","18:00 UTC, 19:00 UTC, 20:00 UTC, 21:00 UTC, 22:00 UTC","19:00 UTC, 20:00 UTC, 21:00 UTC, 22:00 UTC",Nothing
Kasual,Nothing,"18:00 UTC, 19:00 UTC, 20:00 UTC, 21:00 UTC, 22:00 UTC, 23:00 UTC","00:00 UTC, 1:00 UTC, 2:00 UTC, 17:00 UTC, 18:00 UTC, 19:00 UTC, 20:00 UTC, 21:00 UTC, 22:00 UTC, 23:00 UTC","00:00 UTC, 22:00 UTC, 23:00 UTC","00:00 UTC, 1:00 UTC, 2:00 UTC, 17:00 UTC, 18:00 UTC, 19:00 UTC, 20:00 UTC, 21:00 UTC, 22:00 UTC, 23:00 UTC"
GalaxV,"00:00 UTC, 1:00 UTC, 2:00 UTC","00:00 UTC, 1:00 UTC, 2:00 UTC","00:00 UTC, 1:00 UTC, 2:00 UTC","00:00 UTC, 1:00 UTC, 2:00 UTC","00:00 UTC, 1:00 UTC, 2:00 UTC, 3:00 UTC, 4:00 UTC"
Cheesy,"20:00 UTC, 21:00 UTC, 22:00 UTC, 23:00 UTC","17:00 UTC, 18:00 UTC, 19:00 UTC, 20:00 UTC, 21:00 UTC, 22:00 UTC, 23:00 UTC","20:00 UTC, 21:00 UTC, 22:00 UTC, 23:00 UTC","17:00 UTC, 18:00 UTC, 19:00 UTC, 20:00 UTC, 21:00 UTC, 22:00 UTC, 23:00 UTC","20:00 UTC, 21:00 UTC, 22:00 UTC, 23:00 UTC"
