runner1,runner2,scheduled,warning
Watermelon,Tetra,Monday 01:00 UTC,Nothing
Cman,CheeseJay,Monday 14:00 UTC,Nothing
Mulan,Sa1102,Monday 19:00 UTC,Nothing
NimbusTTP,AnimeeArcade,Tuesday 16:00 UTC,Nothing
Red Lunatic,GShark,Tuesday 20:00 UTC,Nothing
BP31,Spade (Prerecorded),Wednesday 01:00 UTC,Nothing
Maxsterious,Kasual (Prerecorded),Wednesday 11:00 UTC,Nothing
Mark Lukas,TwelveSeven (Prerecorded),Wednesday 17:00 UTC,Nothing
Tektonic,Cheesy,Wednesday 22:00 UTC,Nothing
TTT|NR|GhettoOtaku,Switch (Prerecorded),Thursday 17:00 UTC,Switch has not submitted availabilities
Serenmew (Prerecorded),MichaelGuy,Thursday 22:00 UTC,Serenmew has not submitted availabilities
GalaxV,Aurelia (Prerecorded),Friday 04:00 UTC,Nothing
LucineSR (Prerecorded),monika_luv,Friday 11:00 UTC,LucineSR has not submitted availabilities
Dy1an,Jadyboyy,Friday 15:00 UTC,Nothing
raydiogre,Lapis,Friday 19:00 UTC,Nothing
B-Frawg (Prerecorded),SMOjoycon (Prerecorded),Friday 23:00 UTC,B-Frawg has not submitted availabilities | SMOjoycon has not submitted availabilities
